Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
ARLP,"Alliance Resource Partners, L.P.",19.7,2574873075,n/a,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp
AHPI,"Allied Healthcare Products, Inc.",2.12,8508698.44,n/a,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi
AMOT,"Allied Motion Technologies, Inc.",33.33,315044392.4,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot
ALQA,"Alliqua BioMedical, Inc.",3.7,1853899.8,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa
ALLT,Allot Communications Ltd.,5.33,176499645.4,n/a,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt
MDRX,"Allscripts Healthcare Solutions, Inc.",12.94,2337117882,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx
AFAM,Almost Family Inc,51,712165581,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam
ALNY,"Alnylam Pharmaceuticals, Inc.",132.25,12131738050,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny
AOSL,Alpha and Omega Semiconductor Limited,17.37,417537801.9,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl
GOOG,Alphabet Inc.,1032.48,7.17369E+11,n/a,2004,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/goog
GOOGL,Alphabet Inc.,1049.99,7.29535E+11,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/googl
SMCP,AlphaMark Actively Managed Small Cap ETF,23.795,26173905.13,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/smcp
ATEC,"Alphatec Holdings, Inc.",3.79,52234022.56,n/a,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec
ALPN,"Alpine Immune Sciences, Inc.",10.23,40040864.49,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alpn
SWIN,ALPS/Dorsey Wright Sector Momentum ETF,29.25,10237558.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/swin
AABA,Altaba Inc.,70.22,62276324511,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/aaba
ALTR,Altair Engineering Inc.,19.37,1169772508,n/a,2017,n/a,n/a,http://www.nasdaq.com/symbol/altr
ALT,"Altimmune, Inc.",2.23,34757087.74,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alt
ASPS,Altisource Portfolio Solutions S.A.,25.62,458719413.2,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps
AIMC,Altra Industrial Motion Corp.,47.725,1397166651,n/a,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc
AMAG,"AMAG Pharmaceuticals, Inc.",14.05,495801767.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag
AMRN,Amarin Corporation plc,3.595,948656832.6,263882290,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn
AMRK,"A-Mark Precious Metals, Inc.",15.6725,110200400.1,n/a,n/a,Basic Industries,Other Specialty Stores,http://www.nasdaq.com/symbol/amrk
AMZN,"Amazon.com, Inc.",1111.6,5.35649E+11,n/a,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn
AMBC,"Ambac Financial Group, Inc.",16.12,729448795.9,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc
AMBCW,"Ambac Financial Group, Inc.",7.237,0,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw
AMBA,"Ambarella, Inc.",55.85,1855013349,n/a,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba
AMCX,AMC Networks Inc.,47.51,3019980134,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx
DOX,Amdocs Limited,63.55,9237310250,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox
AMDA,Amedica Corporation,0.329,11931145.85,n/a,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda
AMED,Amedisys Inc,54.84,1856997345,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed
UHAL,Amerco,386.66,7581547308,n/a,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal
ATAX,"America First Multifamily Investors, L.P.",6.2,373568153.6,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax
AMOV,"America Movil, S.A.B. de C.V.",17.07,56120525193,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov
AAL,"American Airlines Group, Inc.",47.44,22699996023,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal
ACSF,"American Capital Senior Floating, Ltd.",10.7,107001070,n/a,2014,n/a,n/a,http://www.nasdaq.com/symbol/acsf
AETI,"American Electric Technologies, Inc.",1.55,13353666.95,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti
AMNB,"American National Bankshares, Inc.",39.05,337678822.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb
ANAT,American National Insurance Company,123.94,3337937703,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat
AOBC,American Outdoor Brands Corporation,14.265,770331868.2,n/a,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aobc
